id	affiliation_string	ror
1	Valparaiso University	https://ror.org/01pp0fx48
2	Laboratory of Metallurgy, Helsinki University of Technology; PO Box 6200 02015 TKK Finland	https://ror.org/020hwjq30
3	Pyrometallurgy Research Centre, University of Queensland; Brisbane Australia	https://ror.org/00rqy9422
4	Institut für Physikalische Chemie, Freie Universität Berlin, Berlin 33, Deutschland	https://ror.org/046ak2485
5	Institut für Organische Chemie, Freie Universität Berlin, Berlin 33, Deutschland	https://ror.org/046ak2485
6	Bar-Ilan University	https://ror.org/03kgsv495
7	European Centre for Nanostructured Polymers, UdR INSTM, University of Perugia, Terni, Italy	https://ror.org/00x27da85
8	European Centre for Nanostructured Polymers, UdR INSTM, University of Perugia, Terni, Italy	https://ror.org/0258dhc73
9	European Centre for Nanostructured Polymers, UdR INSTM, University of Perugia, Terni, Italy	https://ror.org/04k80k910
10	Department of Applied Computing and Mathematics (DACAM), Cranfield Institute of Technology, Cranfield, Bedford, England	https://ror.org/05cncd958
11	History in New York University	https://ror.org/0190ak572
12	IM Setchenov Medical Academy	https://ror.org/02yqqv993
13	Laboratory of Cell Immunity	
14	EA Vagner Perm Medical Academy	https://ror.org/003a79y48
15	Univ.-Hals-, Nasen- und Ohrenklinik Rostock, Deutschland	https://ror.org/04dm1cm79
16	National Centre for Scientific Research (CNIC)	https://ror.org/03zxtdc90
17	National Centre for Metallurgical Research (CENIM-CSIC	https://ror.org/04m7z8d34
18	大分大学大学院	https://ror.org/01nyv7k26
19	大分大学	https://ror.org/01nyv7k26
20	大分工業高等専門学校	https://ror.org/05983b311
21	University of Salzburg;	https://ror.org/05gs8cd61
22	St. Anna Children’s Hospital, Endoscopy Unit	https://ror.org/02qb3f692
23	Ball Bros. Research Corp. Boulder, CO, United States	
24	Apollo Hospital; Nizam’s Institute of Medical Sciences	https://ror.org/01wjz9118
25	Faculty of Health and Medical Sciences, University of Surrey, Guildford, GU2 7XH, Surrey, UK.	https://ror.org/00ks66431
26	College Of William and Mary	https://ror.org/03hsf0573
27	World Health Organization, , Ginebra, Suiza	https://ror.org/01f80g185
28	Department of Medicine, Harvard Medical School, Boston, Massachusetts	https://ror.org/03wevmz92
29	Dept. of Mech. Eng., Laval Univ., Quebec City, QC, Canada	https://ror.org/04sjchr03
30	Department of biology, McGill University, Montréal, Canada	https://ror.org/01pxwe438
31	Pamukkale Üniversitesi	https://ror.org/01etz1309
32	School of Knowledge Science, Japan Advanced Institute of Science and Technology (JAIST)	https://ror.org/03frj4r98
33	Algorithms, Bioinformatics, Complexity and Formal Methods Research Group, Technical University of Catalonia	https://ror.org/03mb6wj31
34	[Raytheon BBN Technologies]	https://ror.org/0354t7b78
35	[Raytheon BBN Technologies]	https://ror.org/03gkvrb60
36	Fac. of Electr. Eng. & Comput. Sci., Maribor Univ., Slovenia	https://ror.org/01d5jce07
37	queen mary university of london	https://ror.org/026zzn846
38	State Key Laboratory of Optical Technologies on Nano‐Fabrication and Micro‐Engineering Institute of Optics and Electronics Chinese Academy of Sciences Chengdu China	https://ror.org/02bn68w95
39	State Key Laboratory of Optical Technologies on Nano‐Fabrication and Micro‐Engineering Institute of Optics and Electronics Chinese Academy of Sciences Chengdu China	https://ror.org/034t30j35
